geoid,name,year,series,sex,age_group,estimate
51036,Charles City County,2040,age_sex,Male,40 to 44,130.06885699639437
51036,Charles City County,2040,age_sex,Male,45 to 49,179.59113515328667
51036,Charles City County,2040,age_sex,Male,5 to 9,103.92041477334016
51036,Charles City County,2040,age_sex,Male,50 to 54,152.55512799605913
51036,Charles City County,2040,age_sex,Male,55 to 59,187.40266077679019
51036,Charles City County,2040,age_sex,Male,60 to 64,157.8927956227451
51036,Charles City County,2040,age_sex,Male,65 to 69,173.41341006131523
51036,Charles City County,2040,age_sex,Male,70 to 74,236.09144605377202
51036,Charles City County,2040,age_sex,Male,75 to 79,245.250641752774
51036,Charles City County,2040,age_sex,Male,80 to 84,151.61343522978632
51036,Charles City County,2040,age_sex,Male,85 and Over,137.28832711770715
51036,Charles City County,2040,age_sex,Total,0 to 4,192.45595534683173
51036,Charles City County,2040,age_sex,Total,10 to 14,267.09838196587935
51036,Charles City County,2040,age_sex,Total,15 to 19,280.04685877088826
51036,Charles City County,2040,age_sex,Total,20 to 24,214.9022898076742
51036,Charles City County,2040,age_sex,Total,25 to 29,217.51943301528138
51036,Charles City County,2040,age_sex,Total,30 to 34,226.82835490084307
51036,Charles City County,2040,age_sex,Total,35 to 39,242.94183572824753
51036,Charles City County,2040,age_sex,Total,40 to 44,287.42488678923513
51036,Charles City County,2040,age_sex,Total,45 to 49,359.18227030657334
51036,Charles City County,2040,age_sex,Total,5 to 9,202.4523635954701
51036,Charles City County,2040,age_sex,Total,50 to 54,304.53888847153377
51036,Charles City County,2040,age_sex,Total,55 to 59,376.97182630244504
51036,Charles City County,2040,age_sex,Total,60 to 64,316.27442343008073
51036,Charles City County,2040,age_sex,Total,65 to 69,371.60016441710405
51036,Charles City County,2040,age_sex,Total,70 to 74,447.43136953739054
51036,Charles City County,2040,age_sex,Total,75 to 79,498.36188099762404
51036,Charles City County,2040,age_sex,Total,80 to 84,380.97735006459123
51036,Charles City County,2040,age_sex,Total,85 and Over,407.28870378253123
51036,Charles City County,2050,age_sex,Female,0 to 4,91.72860956979072
51036,Charles City County,2050,age_sex,Female,10 to 14,125.61646254686389
51036,Charles City County,2050,age_sex,Female,15 to 19,91.48544165721866
51036,Charles City County,2050,age_sex,Female,20 to 24,116.68720174517962
51036,Charles City County,2050,age_sex,Female,25 to 29,144.81166788105287
51036,Charles City County,2050,age_sex,Female,30 to 34,117.03435244030145
51036,Charles City County,2050,age_sex,Female,35 to 39,118.49611395402364
51036,Charles City County,2050,age_sex,Female,40 to 44,140.5132048741855
51036,Charles City County,2050,age_sex,Female,45 to 49,155.4488881272009
51036,Charles City County,2050,age_sex,Female,5 to 9,100.51655063694143
51036,Charles City County,2050,age_sex,Female,50 to 54,168.08434495908233
51036,Charles City County,2050,age_sex,Female,55 to 59,212.6589581381407
51036,Charles City County,2050,age_sex,Female,60 to 64,174.8252491142337
51036,Charles City County,2050,age_sex,Female,65 to 69,221.37390954598598
51036,Charles City County,2050,age_sex,Female,70 to 74,144.53102239657662
51036,Charles City County,2050,age_sex,Female,75 to 79,161.88241111602593
51036,Charles City County,2050,age_sex,Female,80 to 84,216.24483606246045
51036,Charles City County,2050,age_sex,Female,85 and Over,378.28045823361106
51036,Charles City County,2050,age_sex,Male,0 to 4,101.66587560651804
51036,Charles City County,2050,age_sex,Male,10 to 14,93.27210392701271
51036,Charles City County,2050,age_sex,Male,15 to 19,116.24841834639062
51036,Charles City County,2050,age_sex,Male,20 to 24,140.68669713957826
51036,Charles City County,2050,age_sex,Male,25 to 29,146.42967534341102
51036,Charles City County,2050,age_sex,Male,30 to 34,119.32914366462107
51036,Charles City County,2050,age_sex,Male,35 to 39,108.96194386576887
51036,Charles City County,2050,age_sex,Male,40 to 44,116.146753161899
51036,Charles City County,2050,age_sex,Male,45 to 49,155.4488881272009
51036,Charles City County,2050,age_sex,Male,5 to 9,106.01354949989916
51036,Charles City County,2050,age_sex,Male,50 to 54,168.71624099276312
51036,Charles City County,2050,age_sex,Male,55 to 59,210.22857004513332
51036,Charles City County,2050,age_sex,Male,60 to 64,174.28566501202928
51036,Charles City County,2050,age_sex,Male,65 to 69,193.70217085273774
51036,Charles City County,2050,age_sex,Male,70 to 74,161.45807907365312
51036,Charles City County,2050,age_sex,Male,75 to 79,156.85500704409966
51036,Charles City County,2050,age_sex,Male,80 to 84,142.94150180399927
51036,Charles City County,2050,age_sex,Male,85 and Over,192.34599571200565
51036,Charles City County,2050,age_sex,Total,0 to 4,193.39448517630876
51036,Charles City County,2050,age_sex,Total,10 to 14,218.8885664738766
51036,Charles City County,2050,age_sex,Total,15 to 19,207.7338600036093
51036,Charles City County,2050,age_sex,Total,20 to 24,257.37389888475786
51036,Charles City County,2050,age_sex,Total,25 to 29,291.2413432244639
51036,Charles City County,2050,age_sex,Total,30 to 34,236.36349610492252
51036,Charles City County,2050,age_sex,Total,35 to 39,227.45805781979251
51036,Charles City County,2050,age_sex,Total,40 to 44,256.6599580360845
51036,Charles City County,2050,age_sex,Total,45 to 49,310.8977762544018
51036,Charles City County,2050,age_sex,Total,5 to 9,206.5301001368406
51036,Charles City County,2050,age_sex,Total,50 to 54,336.80058595184545
51036,Charles City County,2050,age_sex,Total,55 to 59,422.887528183274
51036,Charles City County,2050,age_sex,Total,60 to 64,349.11091412626297
51036,Charles City County,2050,age_sex,Total,65 to 69,415.0760803987237
51036,Charles City County,2050,age_sex,Total,70 to 74,305.98910147022974
51036,Charles City County,2050,age_sex,Total,75 to 79,318.7374181601256
51036,Charles City County,2050,age_sex,Total,80 to 84,359.1863378664597
51036,Charles City County,2050,age_sex,Total,85 and Over,570.6264539456167
51036,Charles City County,2030,total_population,NA,NA,6113.218397858984
51036,Charles City County,2040,total_population,NA,NA,5594.297237230224
51036,Charles City County,2050,total_population,NA,NA,5484.9559622175775
51041,Chesterfield County,2030,age_sex,Female,0 to 4,10207.265041271054
51041,Chesterfield County,2030,age_sex,Female,10 to 14,14166.015930260717
51041,Chesterfield County,2030,age_sex,Female,15 to 19,14305.643882169603
51041,Chesterfield County,2030,age_sex,Female,20 to 24,12904.344912529163
51041,Chesterfield County,2030,age_sex,Female,25 to 29,12033.575820231137
51041,Chesterfield County,2030,age_sex,Female,30 to 34,16259.993918699602
51041,Chesterfield County,2030,age_sex,Female,35 to 39,15323.111164427848
51041,Chesterfield County,2030,age_sex,Female,40 to 44,15860.81794511666
51041,Chesterfield County,2030,age_sex,Female,45 to 49,15203.093497896647
51041,Chesterfield County,2030,age_sex,Female,5 to 9,9458.11855670103
51041,Chesterfield County,2030,age_sex,Female,50 to 54,13799.725791741546
51041,Chesterfield County,2030,age_sex,Female,55 to 59,13424.808454834782
51041,Chesterfield County,2030,age_sex,Female,60 to 64,13597.820525206609
51041,Chesterfield County,2030,age_sex,Female,65 to 69,12447.912526500138
51041,Chesterfield County,2030,age_sex,Female,70 to 74,11349.137373183437
51041,Chesterfield County,2030,age_sex,Female,75 to 79,9473.930872876392
51041,Chesterfield County,2030,age_sex,Female,80 to 84,7405.673152774126
51041,Chesterfield County,2030,age_sex,Female,85 and Over,5601.7890114839
51041,Chesterfield County,2030,age_sex,Male,0 to 4,10510.734958728948
51041,Chesterfield County,2030,age_sex,Male,10 to 14,14555.342837068998
51041,Chesterfield County,2030,age_sex,Male,15 to 19,15355.10538988753
51041,Chesterfield County,2030,age_sex,Male,20 to 24,13129.026735511015
51041,Chesterfield County,2030,age_sex,Male,25 to 29,11334.7437948108
51041,Chesterfield County,2030,age_sex,Male,30 to 34,14616.153340772606
51041,Chesterfield County,2030,age_sex,Male,35 to 39,13517.829162040212
51041,Chesterfield County,2030,age_sex,Male,40 to 44,13908.352130497668
51041,Chesterfield County,2030,age_sex,Male,45 to 49,13712.617722940648
51041,Chesterfield County,2030,age_sex,Male,5 to 9,10113.88144329897
51041,Chesterfield County,2030,age_sex,Male,50 to 54,12638.21041016241
51041,Chesterfield County,2030,age_sex,Male,55 to 59,11831.249411196697
51041,Chesterfield County,2030,age_sex,Male,60 to 64,11370.368020125146
51041,Chesterfield County,2030,age_sex,Male,65 to 69,10409.254493501703
51041,Chesterfield County,2030,age_sex,Male,70 to 74,9517.035152179873
51041,Chesterfield County,2030,age_sex,Male,75 to 79,7887.047451669596
51041,Chesterfield County,2030,age_sex,Male,80 to 84,5308.300026295031
51041,Chesterfield County,2030,age_sex,Male,85 and Over,3123.4217518576893
51041,Chesterfield County,2030,age_sex,Total,0 to 4,20718
51041,Chesterfield County,2030,age_sex,Total,10 to 14,28721.358767329715
51041,Chesterfield County,2030,age_sex,Total,15 to 19,29660.74927205713
51041,Chesterfield County,2030,age_sex,Total,20 to 24,26033.371648040178
51041,Chesterfield County,2030,age_sex,Total,25 to 29,23368.319615041935
51041,Chesterfield County,2030,age_sex,Total,30 to 34,30876.147259472207
51041,Chesterfield County,2030,age_sex,Total,35 to 39,28840.94032646806
51041,Chesterfield County,2030,age_sex,Total,40 to 44,29769.170075614325
51041,Chesterfield County,2030,age_sex,Total,45 to 49,28915.711220837296
51041,Chesterfield County,2030,age_sex,Total,5 to 9,19572
51041,Chesterfield County,2030,age_sex,Total,50 to 54,26437.936201903958
51041,Chesterfield County,2030,age_sex,Total,55 to 59,25256.05786603148
51041,Chesterfield County,2030,age_sex,Total,60 to 64,24968.188545331755
51041,Chesterfield County,2030,age_sex,Total,65 to 69,22857.16702000184
51041,Chesterfield County,2030,age_sex,Total,70 to 74,20866.172525363312
51041,Chesterfield County,2030,age_sex,Total,75 to 79,17360.978324545988
51041,Chesterfield County,2030,age_sex,Total,80 to 84,12713.973179069157
51041,Chesterfield County,2030,age_sex,Total,85 and Over,8725.210763341589
51041,Chesterfield County,2040,age_sex,Female,0 to 4,12928.548678717912
51041,Chesterfield County,2040,age_sex,Female,10 to 14,13417.134290397138
51041,Chesterfield County,2040,age_sex,Female,15 to 19,11152.03108750077
51041,Chesterfield County,2040,age_sex,Female,20 to 24,12854.259451353468
51041,Chesterfield County,2040,age_sex,Female,25 to 29,11935.904996581434
51041,Chesterfield County,2040,age_sex,Female,30 to 34,17708.219885574388
51041,Chesterfield County,2040,age_sex,Female,35 to 39,16772.23364565362
51041,Chesterfield County,2040,age_sex,Female,40 to 44,19755.346719828056
51041,Chesterfield County,2040,age_sex,Female,45 to 49,16350.457884812207
51041,Chesterfield County,2040,age_sex,Female,5 to 9,15549.740445596872
51041,Chesterfield County,2040,age_sex,Female,50 to 54,15670.563876237618
51041,Chesterfield County,2040,age_sex,Female,55 to 59,14643.751802869476
51041,Chesterfield County,2040,age_sex,Female,60 to 64,13540.229385725665
51041,Chesterfield County,2040,age_sex,Female,65 to 69,12782.965270909157
51041,Chesterfield County,2040,age_sex,Female,70 to 74,12217.98227333986
51041,Chesterfield County,2040,age_sex,Female,75 to 79,10686.038778324644
