geoid,name,tenure,income_band,burden,estimate,moe,cv,reliability
51036,Charles City County,Renter,80-100% AMI,Not cost-burdened,44,36.98648401781386,51.10042003013796,Low
51036,Charles City County,Renter,80-100% AMI,Cost-burdened,4,38.01315561749642,577.7075321807966,Low
51036,Charles City County,Renter,80-100% AMI,Severely cost-burdened,0,42.485291572496,NA,NA
51036,Charles City County,Renter,100%+ AMI,Not cost-burdened,83,40.08740450565489,29.36053356696443,Medium
51036,Charles City County,Renter,100%+ AMI,Cost-burdened,0,42.485291572496,NA,NA
51036,Charles City County,Renter,100%+ AMI,Severely cost-burdened,0,42.485291572496,NA,NA
51041,Chesterfield County,Owner,0-30% AMI,Not cost-burdened,1005,236.43815258963602,14.30163181597399,High
51041,Chesterfield County,Owner,0-30% AMI,Cost-burdened,1080,304.94261755287664,17.164393648141203,Medium
51041,Chesterfield County,Owner,0-30% AMI,Severely cost-burdened,3415,450.6373264610911,8.021776383665681,High
51041,Chesterfield County,Owner,30-50% AMI,Not cost-burdened,3420,430.275493143637,7.648118401387102,High
51041,Chesterfield County,Owner,30-50% AMI,Cost-burdened,2285,407.2579035451614,10.834713069780088,High
51041,Chesterfield County,Owner,30-50% AMI,Severely cost-burdened,1925,343.75281817026604,10.855494988205615,High
51041,Chesterfield County,Owner,50-80% AMI,Not cost-burdened,9810,793.1475272608495,4.91494955684355,High
51041,Chesterfield County,Owner,50-80% AMI,Cost-burdened,4415,695.5760202882212,9.577408052655823,High
51041,Chesterfield County,Owner,50-80% AMI,Severely cost-burdened,980,294.1411225925406,18.245836027079005,Medium
51041,Chesterfield County,Owner,80-100% AMI,Not cost-burdened,9960,918.9303564471031,5.608637324050629,High
51041,Chesterfield County,Owner,80-100% AMI,Cost-burdened,1755,424.9023417210124,14.717908597096004,High
51041,Chesterfield County,Owner,80-100% AMI,Severely cost-burdened,245,111.90621073023605,27.766568011968502,Medium
51041,Chesterfield County,Owner,100%+ AMI,Not cost-burdened,61275,1755.5922077749149,1.7417042931672722,High
51041,Chesterfield County,Owner,100%+ AMI,Cost-burdened,1680,281.1974395331508,10.175041233649978,High
51041,Chesterfield County,Owner,100%+ AMI,Severely cost-burdened,54,59.65735495309862,67.1590171711118,Low
51041,Chesterfield County,Renter,0-30% AMI,Not cost-burdened,350,143.32829448507368,24.894189228844755,Medium
51041,Chesterfield County,Renter,0-30% AMI,Cost-burdened,345,183.97554185271477,32.41716961415176,Low
51041,Chesterfield County,Renter,0-30% AMI,Severely cost-burdened,4310,547.7864547430869,7.726238615830675,High
51041,Chesterfield County,Renter,30-50% AMI,Not cost-burdened,770,290.86594850549284,22.963403347846114,Medium
51041,Chesterfield County,Renter,30-50% AMI,Cost-burdened,2485,432.7955637480588,10.587428858820005,High
51041,Chesterfield County,Renter,30-50% AMI,Severely cost-burdened,1765,340.90907878787857,11.74161821944354,High
51041,Chesterfield County,Renter,50-80% AMI,Not cost-burdened,3085,501.1686342938871,9.875584562894032,High
51041,Chesterfield County,Renter,50-80% AMI,Cost-burdened,3540,481.0218290265006,8.260296207073319,High
51041,Chesterfield County,Renter,50-80% AMI,Severely cost-burdened,250,99.5941765365827,24.2174289450657,Medium
51041,Chesterfield County,Renter,80-100% AMI,Not cost-burdened,3390,533.0497162554352,9.558772292105965,High
51041,Chesterfield County,Renter,80-100% AMI,Cost-burdened,380,166.41213898030395,26.621682767605815,Medium
51041,Chesterfield County,Renter,80-100% AMI,Severely cost-burdened,30,69.77105417004964,141.38004897679764,Low
51041,Chesterfield County,Renter,100%+ AMI,Not cost-burdened,8795,902.8975578657858,6.240749236601936,High
51041,Chesterfield County,Renter,100%+ AMI,Cost-burdened,225,122.38463955905577,33.06575874611436,Low
51041,Chesterfield County,Renter,100%+ AMI,Severely cost-burdened,75,76.62897624267207,62.110619041679485,Low
51075,Goochland County,Owner,0-30% AMI,Not cost-burdened,70,67.07458535093602,58.24974845934522,Low
51075,Goochland County,Owner,0-30% AMI,Cost-burdened,119,81.55366331440912,41.66108825542598,Low
51075,Goochland County,Owner,0-30% AMI,Severely cost-burdened,314,133.27040181525678,25.801096125153773,Medium
51075,Goochland County,Owner,30-50% AMI,Not cost-burdened,485,169.38713056191725,21.231113409822612,Medium
51075,Goochland County,Owner,30-50% AMI,Cost-burdened,40,52.44997616777342,79.71120998141858,Low
51075,Goochland County,Owner,30-50% AMI,Severely cost-burdened,60,68.90573270780887,69.81330568167058,Low
51075,Goochland County,Owner,50-80% AMI,Not cost-burdened,575,158.0442975877333,16.708793190192498,Medium
