geoid,name,year,race_group,tenure,estimate,moe,cv,reliability,rate_reliability,total_hh,owner_rate
51,Virginia,2024,Another race,Total,115789,2605.2688920723713,1.367789761001635,High,High,115789,0.5073625301194414
51036,"Charles City County, Virginia",2014,"White, non-Hispanic",Owner,1034,69,4.056604328220444,High,Medium,1295,0.7984555984555984
51036,"Charles City County, Virginia",2014,"White, non-Hispanic",Renter,261,65,15.139340157682051,Medium,Medium,1295,0.7984555984555984
51036,"Charles City County, Virginia",2014,"White, non-Hispanic",Total,1295,59,2.769595474762648,High,Medium,1295,0.7984555984555984
51036,"Charles City County, Virginia",2014,Black,Owner,1013,77,4.620780911974124,High,High,1278,0.7926447574334898
51036,"Charles City County, Virginia",2014,Black,Renter,265,62,14.222630039571026,High,High,1278,0.7926447574334898
51036,"Charles City County, Virginia",2014,Black,Total,1278,71,3.3772374197906116,High,High,1278,0.7926447574334898
51036,"Charles City County, Virginia",2014,Hispanic or Latino,Owner,37,18,29.573646594923186,Medium,Low,41,0.9024390243902439
51036,"Charles City County, Virginia",2014,Hispanic or Latino,Renter,4,6,91.1854103343465,Low,Low,41,0.9024390243902439
51036,"Charles City County, Virginia",2014,Hispanic or Latino,Total,41,17,25.20572318185188,Medium,Low,41,0.9024390243902439
51036,"Charles City County, Virginia",2014,Asian,Owner,6,7,70.92198581560284,Low,Low,6,1
51036,"Charles City County, Virginia",2014,Asian,Renter,0,17,NA,NA,Low,6,1
51036,"Charles City County, Virginia",2014,Asian,Total,6,7,70.92198581560284,Low,Low,6,1
51036,"Charles City County, Virginia",2014,Multiracial,Owner,54,20,22.514916131937408,Medium,Low,57,0.9473684210526315
51036,"Charles City County, Virginia",2014,Multiracial,Renter,3,4,81.05369807497466,Low,Low,57,0.9473684210526315
51036,"Charles City County, Virginia",2014,Multiracial,Total,57,20,21.329920546045962,Medium,Low,57,0.9473684210526315
51036,"Charles City County, Virginia",2014,Another race,Owner,144,32.46536616149585,13.70540618097596,High,Low,164,0.8780487804878049
51036,"Charles City County, Virginia",2014,Another race,Renter,20,21.02379604162864,63.902115628050574,Low,Low,164,0.8780487804878049
51036,"Charles City County, Virginia",2014,Another race,Total,164,27.820855486487112,10.3124232658044,High,Low,164,0.8780487804878049
51036,"Charles City County, Virginia",2019,"White, non-Hispanic",Owner,1080,62,3.4898120004502986,High,High,1305,0.8275862068965517
51036,"Charles City County, Virginia",2019,"White, non-Hispanic",Renter,225,54,14.589665653495443,High,High,1305,0.8275862068965517
51036,"Charles City County, Virginia",2019,"White, non-Hispanic",Total,1305,60,2.7949551060336097,High,High,1305,0.8275862068965517
51036,"Charles City County, Virginia",2019,Black,Owner,1086,75,4.198223311894407,High,Medium,1284,0.8457943925233645
51036,"Charles City County, Virginia",2019,Black,Renter,198,60,18.4212950170397,Medium,Medium,1284,0.8457943925233645
51036,"Charles City County, Virginia",2019,Black,Total,1284,65,3.077389237659669,High,Medium,1284,0.8457943925233645
51036,"Charles City County, Virginia",2019,Hispanic or Latino,Owner,50,19,23.10030395136778,Medium,Low,58,0.8620689655172413
51036,"Charles City County, Virginia",2019,Hispanic or Latino,Renter,8,11,83.58662613981764,Low,Low,58,0.8620689655172413
51036,"Charles City County, Virginia",2019,Hispanic or Latino,Total,58,15,15.721622471439053,Medium,Low,58,0.8620689655172413
51036,"Charles City County, Virginia",2019,Asian,Owner,11,9,49.73749654600718,Low,Low,19,0.5789473684210527
51036,"Charles City County, Virginia",2019,Asian,Renter,8,14,106.38297872340425,Low,Low,19,0.5789473684210527
51036,"Charles City County, Virginia",2019,Asian,Total,19,15,47.99232122860342,Low,Low,19,0.5789473684210527
51036,"Charles City County, Virginia",2019,Multiracial,Owner,38,17,27.195648696208607,Medium,Low,52,0.7307692307692307
51036,"Charles City County, Virginia",2019,Multiracial,Renter,14,15,65.13243595310465,Low,Low,52,0.7307692307692307
51036,"Charles City County, Virginia",2019,Multiracial,Total,52,22,25.718961889174658,Medium,Low,52,0.7307692307692307
51036,"Charles City County, Virginia",2019,Another race,Owner,186,25.67099530598687,8.39003670490142,High,Low,199,0.9346733668341709
51036,"Charles City County, Virginia",2019,Another race,Renter,13,25.337718918639855,118.4836049503851,Low,Low,199,0.9346733668341709
51036,"Charles City County, Virginia",2019,Another race,Total,199,26.419689627245813,8.070654068899454,High,Low,199,0.9346733668341709
51036,"Charles City County, Virginia",2024,"White, non-Hispanic",Owner,1213,143,7.166536783628222,High,High,1400,0.8664285714285714
51036,"Charles City County, Virginia",2024,"White, non-Hispanic",Renter,187,45,14.628675454707995,High,High,1400,0.8664285714285714
51036,"Charles City County, Virginia",2024,"White, non-Hispanic",Total,1400,143,6.20929222752931,High,High,1400,0.8664285714285714
51036,"Charles City County, Virginia",2024,Black,Owner,967,81,5.092049801504355,High,Medium,1134,0.8527336860670194
51036,"Charles City County, Virginia",2024,Black,Renter,167,58,21.112789618331725,Medium,Medium,1134,0.8527336860670194
51036,"Charles City County, Virginia",2024,Black,Total,1134,88,4.7174109990726,High,Medium,1134,0.8527336860670194
51036,"Charles City County, Virginia",2024,Hispanic or Latino,Owner,33,22,40.52684903748734,Low,Low,34,0.9705882352941176
51036,"Charles City County, Virginia",2024,Hispanic or Latino,Renter,1,7,425.531914893617,Low,Low,34,0.9705882352941176
51036,"Charles City County, Virginia",2024,Hispanic or Latino,Total,34,24,42.91078133381012,Low,Low,34,0.9705882352941176
51036,"Charles City County, Virginia",2024,Asian,Owner,47,29,37.50889219427019,Low,Low,48,0.9791666666666666
51036,"Charles City County, Virginia",2024,Asian,Renter,1,7,425.531914893617,Low,Low,48,0.9791666666666666
51036,"Charles City County, Virginia",2024,Asian,Total,48,28,35.46099290780142,Low,Low,48,0.9791666666666666
51036,"Charles City County, Virginia",2024,Multiracial,Owner,99,46,28.2459856927942,Medium,Low,121,0.8181818181818182
51036,"Charles City County, Virginia",2024,Multiracial,Renter,22,17,46.97430229345123,Low,Low,121,0.8181818181818182
51036,"Charles City County, Virginia",2024,Multiracial,Total,121,47,23.612750885478157,Medium,Low,121,0.8181818181818182
51036,"Charles City County, Virginia",2024,Another race,Owner,174,35.860842154082214,12.528680485652172,High,Low,197,0.883248730964467
51036,"Charles City County, Virginia",2024,Another race,Renter,23,30.773365106858236,81.33570796050809,Low,Low,197,0.883248730964467
51036,"Charles City County, Virginia",2024,Another race,Total,197,35.11409973215888,10.835511311668608,High,Low,197,0.883248730964467
51041,"Chesterfield County, Virginia",2014,"White, non-Hispanic",Owner,65544,774,0.7178639041334491,High,High,80092,0.8183588872796285
51041,"Chesterfield County, Virginia",2014,"White, non-Hispanic",Renter,14548,608,2.540588831604925,High,High,80092,0.8183588872796285
51041,"Chesterfield County, Virginia",2014,"White, non-Hispanic",Total,80092,730,0.554074061030423,High,High,80092,0.8183588872796285
51041,"Chesterfield County, Virginia",2014,Black,Owner,15720,584,2.2583663967454775,High,High,23871,0.6585396506220937
51041,"Chesterfield County, Virginia",2014,Black,Renter,8151,599,4.467350491986551,High,High,23871,0.6585396506220937
51041,"Chesterfield County, Virginia",2014,Black,Total,23871,600,1.5279696759138117,High,High,23871,0.6585396506220937
51041,"Chesterfield County, Virginia",2014,Hispanic or Latino,Owner,3489,296,5.157329026266661,High,High,6533,0.5340578600949027
51041,"Chesterfield County, Virginia",2014,Hispanic or Latino,Renter,3044,323,6.450479092858941,High,High,6533,0.5340578600949027
51041,"Chesterfield County, Virginia",2014,Hispanic or Latino,Total,6533,321,2.986939815023749,High,High,6533,0.5340578600949027
51041,"Chesterfield County, Virginia",2014,Asian,Owner,2262,231,6.208025283593882,High,Medium,2868,0.7887029288702929
51041,"Chesterfield County, Virginia",2014,Asian,Renter,606,156,15.648981311505011,Medium,Medium,2868,0.7887029288702929
51041,"Chesterfield County, Virginia",2014,Asian,Total,2868,209,4.429974607131199,High,Medium,2868,0.7887029288702929
51041,"Chesterfield County, Virginia",2014,Multiracial,Owner,1057,227,13.055243232984331,High,Medium,1800,0.5872222222222222
51041,"Chesterfield County, Virginia",2014,Multiracial,Renter,743,232,18.981619737611833,Medium,Medium,1800,0.5872222222222222
51041,"Chesterfield County, Virginia",2014,Multiracial,Total,1800,353,11.921648091860858,High,Medium,1800,0.5872222222222222
51041,"Chesterfield County, Virginia",2014,Another race,Owner,1267,248.51156914719283,11.923509289933754,High,High,2186,0.5795974382433668
51041,"Chesterfield County, Virginia",2014,Another race,Renter,919,224.25209029126128,14.833891092886168,High,High,2186,0.5795974382433668
51041,"Chesterfield County, Virginia",2014,Another race,Total,2186,305.1835513260831,8.486821395230857,High,High,2186,0.5795974382433668
51041,"Chesterfield County, Virginia",2019,"White, non-Hispanic",Owner,69078,684,0.6019361752289007,High,High,83785,0.8244673867637405
51041,"Chesterfield County, Virginia",2019,"White, non-Hispanic",Renter,14707,706,2.9181976698646284,High,High,83785,0.8244673867637405
51041,"Chesterfield County, Virginia",2019,"White, non-Hispanic",Total,83785,580,0.4208194624648085,High,High,83785,0.8244673867637405
51041,"Chesterfield County, Virginia",2019,Black,Owner,16592,605,2.2166173759353756,High,High,27237,0.60917134779895
51041,"Chesterfield County, Virginia",2019,Black,Renter,10645,570,3.2550921490889313,High,High,27237,0.60917134779895
51041,"Chesterfield County, Virginia",2019,Black,Total,27237,542,1.209690063791064,High,High,27237,0.60917134779895
51041,"Chesterfield County, Virginia",2019,Hispanic or Latino,Owner,4287,357,5.062311093905871,High,High,7623,0.5623770169224714
51041,"Chesterfield County, Virginia",2019,Hispanic or Latino,Renter,3336,349,6.359653918202824,High,High,7623,0.5623770169224714
51041,"Chesterfield County, Virginia",2019,Hispanic or Latino,Total,7623,367,2.926673277598948,High,High,7623,0.5623770169224714
51041,"Chesterfield County, Virginia",2019,Asian,Owner,3249,263,4.920850090886042,High,High,4229,0.7682667297233389
51041,"Chesterfield County, Virginia",2019,Asian,Renter,980,201,12.468209168165748,High,High,4229,0.7682667297233389
51041,"Chesterfield County, Virginia",2019,Asian,Total,4229,220,3.16241669008532,High,High,4229,0.7682667297233389
51041,"Chesterfield County, Virginia",2019,Multiracial,Owner,1584,272,10.438733842989162,High,Medium,2189,0.7236180904522613
51041,"Chesterfield County, Virginia",2019,Multiracial,Renter,605,170,17.081564470345903,Medium,Medium,2189,0.7236180904522613
51041,"Chesterfield County, Virginia",2019,Multiracial,Total,2189,343,9.525383202278316,High,Medium,2189,0.7236180904522613
51041,"Chesterfield County, Virginia",2019,Another race,Owner,1556,275.74807342935327,10.773008236744253,High,High,2756,0.5645863570391872
51041,"Chesterfield County, Virginia",2019,Another race,Renter,1200,249.39125886846958,12.633802374289239,High,High,2756,0.5645863570391872
51041,"Chesterfield County, Virginia",2019,Another race,Total,2756,404.5417160194978,8.923150065940634,High,High,2756,0.5645863570391872
51041,"Chesterfield County, Virginia",2024,"White, non-Hispanic",Owner,73071,1110,0.9234471082565779,High,High,87052,0.839394844460782
51041,"Chesterfield County, Virginia",2024,"White, non-Hispanic",Renter,13981,966,4.20022918641865,High,High,87052,0.839394844460782
51041,"Chesterfield County, Virginia",2024,"White, non-Hispanic",Total,87052,877,0.6124278581631046,High,High,87052,0.839394844460782
51041,"Chesterfield County, Virginia",2024,Black,Owner,20309,749,2.2419575012859827,High,High,32078,0.6331130369723799
51041,"Chesterfield County, Virginia",2024,Black,Renter,11769,960,4.9586764053005155,High,High,32078,0.6331130369723799
51041,"Chesterfield County, Virginia",2024,Black,Total,32078,809,1.5331171303382656,High,High,32078,0.6331130369723799
51041,"Chesterfield County, Virginia",2024,Hispanic or Latino,Owner,7125,570,4.86322188449848,High,High,12041,0.591728261772278
51041,"Chesterfield County, Virginia",2024,Hispanic or Latino,Renter,4916,579,7.159798289067891,High,High,12041,0.591728261772278
51041,"Chesterfield County, Virginia",2024,Hispanic or Latino,Total,12041,635,3.205865269346955,High,High,12041,0.591728261772278
51041,"Chesterfield County, Virginia",2024,Asian,Owner,3672,266,4.403652714040699,High,Medium,4266,0.8607594936708861
51041,"Chesterfield County, Virginia",2024,Asian,Renter,594,200,20.46810557448855,Medium,Medium,4266,0.8607594936708861
51041,"Chesterfield County, Virginia",2024,Asian,Total,4266,306,4.360483757198004,High,Medium,4266,0.8607594936708861
51041,"Chesterfield County, Virginia",2024,Multiracial,Owner,6038,604,6.081040945340101,High,High,8663,0.6969871868867598
51041,"Chesterfield County, Virginia",2024,Multiracial,Renter,2625,478,11.06961933709654,High,High,8663,0.6969871868867598
51041,"Chesterfield County, Virginia",2024,Multiracial,Total,8663,735,5.157664904055153,High,High,8663,0.6969871868867598
51041,"Chesterfield County, Virginia",2024,Another race,Owner,3360,466.5586779816661,8.44113978111279,High,High,6421,0.5232829777293256
51041,"Chesterfield County, Virginia",2024,Another race,Renter,3061,469.3974861458037,9.322052136364118,High,High,6421,0.5232829777293256
51041,"Chesterfield County, Virginia",2024,Another race,Total,6421,542.1236021425373,5.132509278233013,High,High,6421,0.5232829777293256
51075,"Goochland County, Virginia",2014,"White, non-Hispanic",Owner,6014,223,2.2541122386164805,High,High,6656,0.9035456730769231
51075,"Goochland County, Virginia",2014,"White, non-Hispanic",Renter,642,153,14.487401641905517,High,High,6656,0.9035456730769231
51075,"Goochland County, Virginia",2014,"White, non-Hispanic",Total,6656,173,1.5800356558335282,High,High,6656,0.9035456730769231
51075,"Goochland County, Virginia",2014,Black,Owner,1018,131,7.8227169311063465,High,Medium,1385,0.7350180505415163
51075,"Goochland County, Virginia",2014,Black,Renter,367,127,21.036416189758413,Medium,Medium,1385,0.7350180505415163
51075,"Goochland County, Virginia",2014,Black,Total,1385,168,7.373838236423688,High,Medium,1385,0.7350180505415163
51075,"Goochland County, Virginia",2014,Hispanic or Latino,Owner,103,56,33.051022516009084,Low,Low,112,0.9196428571428571
51075,"Goochland County, Virginia",2014,Hispanic or Latino,Renter,9,14,94.56264775413712,Low,Low,112,0.9196428571428571
51075,"Goochland County, Virginia",2014,Hispanic or Latino,Total,112,56,30.3951367781155,Low,Low,112,0.9196428571428571
51075,"Goochland County, Virginia",2014,Asian,Owner,30,33,66.8693009118541,Low,Low,30,1
51075,"Goochland County, Virginia",2014,Asian,Renter,0,22,NA,NA,Low,30,1
51075,"Goochland County, Virginia",2014,Asian,Total,30,33,66.8693009118541,Low,Low,30,1
51075,"Goochland County, Virginia",2014,Multiracial,Owner,24,26,65.85612968591693,Low,Low,24,1
51075,"Goochland County, Virginia",2014,Multiracial,Renter,0,22,NA,NA,Low,24,1
