geoid,name,year,tenure,burden,estimate,moe,share,cv,reliability
51,Virginia,2014,Owner,Not cost-burdened,1493523,8423.429824008745,0.7406698607304226,0.3428555189864544,High
51,Virginia,2014,Owner,Cost-burdened,333711,3746.6601126870314,0.16549439137811073,0.6825081977293643,High
51,Virginia,2014,Owner,Severely cost-burdened,189215,3258.8711235641094,0.09383574789146663,1.046997685627271,High
51,Virginia,2014,Owner,Not computed,11795,759.6433373630022,NA,3.9151272813450766,High
51036,"Charles City County, Virginia",2014,Owner,Not cost-burdened,1637,132.81566172707193,0.7214631996474218,4.932132198497582,High
51036,"Charles City County, Virginia",2014,Owner,Cost-burdened,373,70.95068710026705,0.16438959894226532,11.56330208532918,High
51036,"Charles City County, Virginia",2014,Owner,Severely cost-burdened,259,53.31041174104736,0.11414720141031291,12.512565687774432,High
51036,"Charles City County, Virginia",2014,Owner,Not computed,10,9.433981132056603,NA,57.34942937420428,Low
51041,"Chesterfield County, Virginia",2014,Owner,Not cost-burdened,65942,1529.199790740242,0.7519642388788159,1.4097308786695961,High
51041,"Chesterfield County, Virginia",2014,Owner,Cost-burdened,14257,767.2880814922124,0.16257854104660577,3.2716316455318273,High
51041,"Chesterfield County, Virginia",2014,Owner,Severely cost-burdened,7494,584.6571644989908,0.08545722007457836,4.742656654190553,High
51041,"Chesterfield County, Virginia",2014,Owner,Not computed,363,153.73353570382747,NA,25.745189229207377,Medium
51075,"Goochland County, Virginia",2014,Owner,Not cost-burdened,5501,458.76028598822717,0.7678671133445003,5.069653387013107,High
51075,"Goochland County, Virginia",2014,Owner,Cost-burdened,949,209.83326714322493,0.1324678950307091,13.441329516158424,High
51075,"Goochland County, Virginia",2014,Owner,Severely cost-burdened,714,153.05554547287727,0.09966499162479062,13.031216356574738,High
51075,"Goochland County, Virginia",2014,Owner,Not computed,30,42.190046219457976,NA,85.49148170102933,Low
51085,"Hanover County, Virginia",2014,Owner,Not cost-burdened,23271,873.4437589221186,0.7652920284135754,2.281676122249077,High
51085,"Hanover County, Virginia",2014,Owner,Cost-burdened,4863,458.7123281534953,0.15992501973164958,5.734165723229815,High
51085,"Hanover County, Virginia",2014,Owner,Severely cost-burdened,2274,293.9557789872484,0.07478295185477506,7.858246357990242,High
51085,"Hanover County, Virginia",2014,Owner,Not computed,82,40.80441152620633,NA,30.250138280233024,Low
51087,"Henrico County, Virginia",2014,Owner,Not cost-burdened,57999,1478.3494174247169,0.7369725155338696,1.5494968102371296,High
