area,area_title,occ_code,occ_title,o_group,tot_emp,annual_wage_median,annual_wage_p10,annual_wage_p25,annual_wage_p75,annual_wage_p90
40060,"Richmond, VA",25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,70,85310,45070,62810,105650,159370
40060,"Richmond, VA",25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,490,57820,41600,41600,65570,76300
40060,"Richmond, VA",25-1199,"Postsecondary Teachers, All Other",detailed,180,81600,41300,49240,103840,133270
40060,"Richmond, VA",25-2011,"Preschool Teachers, Except Special Education",detailed,2060,35980,30290,31030,40410,54550
40060,"Richmond, VA",25-2012,"Kindergarten Teachers, Except Special Education",detailed,710,61300,53700,58710,63020,74880
40060,"Richmond, VA",25-2021,"Elementary School Teachers, Except Special Education",detailed,5270,61290,51180,53840,64800,82980
40060,"Richmond, VA",25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,2760,61350,51530,57400,73930,80640
40060,"Richmond, VA",25-2023,"Career/Technical Education Teachers, Middle School",detailed,60,63990,51060,58790,72460,96070
40060,"Richmond, VA",25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,4420,62000,50490,54110,75680,80750
40060,"Richmond, VA",25-2032,"Career/Technical Education Teachers, Secondary School",detailed,490,63620,52710,61450,79190,82980
40060,"Richmond, VA",25-2051,"Special Education Teachers, Preschool",detailed,80,61860,49830,55200,64570,74790
40060,"Richmond, VA",25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,910,62310,49020,54630,64320,78570
40060,"Richmond, VA",25-2057,"Special Education Teachers, Middle School",detailed,390,60560,51410,58630,63820,77440
40060,"Richmond, VA",25-2058,"Special Education Teachers, Secondary School",detailed,1210,61120,50510,50510,63960,81850
40060,"Richmond, VA",25-2059,"Special Education Teachers, All Other",detailed,40,76160,47030,61750,82370,88270
40060,"Richmond, VA",25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,200,49440,49440,49440,58360,73530
40060,"Richmond, VA",25-3021,Self-Enrichment Teachers,detailed,1440,45280,29510,33280,63090,90780
40060,"Richmond, VA",25-3031,"Substitute Teachers, Short-Term",detailed,4160,35230,31140,35230,41620,42630
40060,"Richmond, VA",25-3041,Tutors,detailed,680,36790,28080,33610,64000,91730
40060,"Richmond, VA",25-3099,"Teachers and Instructors, All Other",detailed,610,82370,41600,61790,91890,104920
40060,"Richmond, VA",25-4011,Archivists,detailed,60,65240,26540,55150,75280,78780
40060,"Richmond, VA",25-4012,Curators,detailed,80,66650,42870,47860,95660,111070
40060,"Richmond, VA",25-4013,Museum Technicians and Conservators,detailed,40,52190,37640,44990,65960,75330
40060,"Richmond, VA",25-4022,Librarians and Media Collections Specialists,detailed,720,77430,54140,63840,79830,95570
40060,"Richmond, VA",25-4031,Library Technicians,detailed,380,40510,34710,39950,46910,56050
40060,"Richmond, VA",25-9021,Farm and Home Management Educators,detailed,40,78900,46330,71480,94130,104730
40060,"Richmond, VA",25-9031,Instructional Coordinators,detailed,1050,81850,49520,64690,96830,105950
40060,"Richmond, VA",25-9044,"Teaching Assistants, Postsecondary",detailed,210,50360,31300,31930,65470,81840
40060,"Richmond, VA",25-9045,"Teaching Assistants, Except Postsecondary",detailed,3770,37050,28670,31470,44360,51750
40060,"Richmond, VA",25-9099,"Educational Instruction and Library Workers, All Other",detailed,480,51800,30530,35320,65960,83060
40060,"Richmond, VA",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,8170,59200,34250,44350,81880,107180
40060,"Richmond, VA",27-1011,Art Directors,detailed,160,99610,64120,83480,117020,134990
40060,"Richmond, VA",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,50,62000,34090,48210,87510,87510
40060,"Richmond, VA",27-1014,Special Effects Artists and Animators,detailed,30,76380,47140,57780,110150,129310
40060,"Richmond, VA",27-1021,Commercial and Industrial Designers,detailed,130,89360,44920,69730,109720,147470
40060,"Richmond, VA",27-1023,Floral Designers,detailed,110,37460,29220,34890,45830,48700
40060,"Richmond, VA",27-1024,Graphic Designers,detailed,760,66350,39220,50640,81470,106140
40060,"Richmond, VA",27-1025,Interior Designers,detailed,400,58790,39250,48010,79510,93050
40060,"Richmond, VA",27-1026,Merchandise Displayers and Window Trimmers,detailed,700,38630,30480,34580,45830,50270
40060,"Richmond, VA",27-1027,Set and Exhibit Designers,detailed,30,51840,39990,41990,66180,82450
40060,"Richmond, VA",27-2011,Actors,detailed,60,NA,NA,NA,NA,NA
40060,"Richmond, VA",27-2012,Producers and Directors,detailed,370,59990,41940,47140,80040,96290
40060,"Richmond, VA",27-2022,Coaches and Scouts,detailed,1150,NA,NA,NA,NA,NA
40060,"Richmond, VA",27-2023,"Umpires, Referees, and Other Sports Officials",detailed,**,40510,26220,36300,44290,67200
40060,"Richmond, VA",27-2041,Music Directors and Composers,detailed,40,57860,40500,53190,100380,168950
40060,"Richmond, VA",27-2042,Musicians and Singers,detailed,**,NA,NA,NA,NA,NA
40060,"Richmond, VA",27-3023,"News Analysts, Reporters, and Journalists",detailed,120,56910,35190,45790,76900,98870
40060,"Richmond, VA",27-3031,Public Relations Specialists,detailed,1760,75730,46870,58980,100190,128120
40060,"Richmond, VA",27-3041,Editors,detailed,290,70380,44810,52040,94370,117580
40060,"Richmond, VA",27-3042,Technical Writers,detailed,180,79200,53060,63720,101820,120630
40060,"Richmond, VA",27-3043,Writers and Authors,detailed,230,74300,44190,44190,91250,97450
40060,"Richmond, VA",27-3091,Interpreters and Translators,detailed,140,78030,49560,54530,89990,97740
40060,"Richmond, VA",27-4011,Audio and Video Technicians,detailed,330,55490,39060,47960,58580,71670
40060,"Richmond, VA",27-4012,Broadcast Technicians,detailed,100,52160,25810,28180,59820,77610
40060,"Richmond, VA",27-4015,Lighting Technicians,detailed,30,55220,43340,49630,60780,68840
40060,"Richmond, VA",27-4021,Photographers,detailed,270,46420,31260,36750,57390,99990
40060,"Richmond, VA",27-4031,"Camera Operators, Television, Video, and Film",detailed,50,55120,40580,45870,70280,77180
40060,"Richmond, VA",29-0000,Healthcare Practitioners and Technical Occupations,major,42560,87380,47200,64840,106640,162140
40060,"Richmond, VA",29-1011,Chiropractors,detailed,70,81760,34500,49020,102840,130660
40060,"Richmond, VA",29-1021,"Dentists, General",detailed,650,218880,128340,159200,257920,308250
40060,"Richmond, VA",29-1022,Oral and Maxillofacial Surgeons,detailed,**,NA,NA,NA,NA,NA
40060,"Richmond, VA",29-1031,Dietitians and Nutritionists,detailed,250,78900,44810,61910,86580,98740
40060,"Richmond, VA",29-1041,Optometrists,detailed,180,131080,64000,119850,157870,191770
40060,"Richmond, VA",29-1051,Pharmacists,detailed,1350,144940,106310,129440,157000,165690
40060,"Richmond, VA",29-1071,Physician Assistants,detailed,620,126810,93040,107810,143750,171850
40060,"Richmond, VA",29-1081,Podiatrists,detailed,40,168600,67270,92560,210460,225910
40060,"Richmond, VA",29-1122,Occupational Therapists,detailed,740,105550,76930,84130,118670,122460
40060,"Richmond, VA",29-1123,Physical Therapists,detailed,1300,102700,77870,83890,118370,125890
40060,"Richmond, VA",29-1124,Radiation Therapists,detailed,80,101380,84480,95220,126020,132100
40060,"Richmond, VA",29-1125,Recreational Therapists,detailed,110,61270,49220,58050,75880,90110
40060,"Richmond, VA",29-1126,Respiratory Therapists,detailed,630,81750,66960,78180,94740,96420
40060,"Richmond, VA",29-1127,Speech-Language Pathologists,detailed,770,96080,67700,81530,116790,124800
40060,"Richmond, VA",29-1128,Exercise Physiologists,detailed,60,63840,34130,47440,90110,104920
40060,"Richmond, VA",29-1131,Veterinarians,detailed,420,121670,81070,95380,165740,216120
40060,"Richmond, VA",29-1141,Registered Nurses,detailed,15700,93580,74730,79810,98530,117970
40060,"Richmond, VA",29-1151,Nurse Anesthetists,detailed,**,235320,122820,163340,270470,402360
40060,"Richmond, VA",29-1171,Nurse Practitioners,detailed,1440,127820,96720,107830,135410,147610
40060,"Richmond, VA",29-1181,Audiologists,detailed,**,80010,80000,80010,80010,88200
40060,"Richmond, VA",29-1212,Cardiologists,detailed,120,450480,184240,291710,580060,580060
40060,"Richmond, VA",29-1215,Family Medicine Physicians,detailed,410,208750,103720,107220,319590,362260
40060,"Richmond, VA",29-1218,Obstetricians and Gynecologists,detailed,250,224240,172490,203320,273300,321940
40060,"Richmond, VA",29-1221,"Pediatricians, General",detailed,130,165370,143580,163000,234510,352200
40060,"Richmond, VA",29-1222,"Physicians, Pathologists",detailed,**,240220,140160,178580,240780,287850
40060,"Richmond, VA",29-1223,Psychiatrists,detailed,50,290900,132830,213760,331220,342870
40060,"Richmond, VA",29-1229,"Physicians, All Other",detailed,1760,284090,92460,204860,333450,384630
40060,"Richmond, VA",29-1249,"Surgeons, All Other",detailed,**,259310,97230,124470,415040,466440
