geoid,name,source_table,measure,estimate,moe,cv,reliability
51085,Hanover County,derived,homes_occupied_higher_income,520,337.7158568974812,39.48046024052855,Low
51085,Hanover County,derived,shortage_homes,495,452.6941572408462,55.594750820158566,Low
51085,Hanover County,derived,shortage_homes_available,1015,423.2280709026753,25.34793123827543,Medium
51087,Henrico County,T17B,homes_vacant_lowest_rent_tier,0,62,NA,NA
51087,Henrico County,T18C,homes_occupied_lowest_income,1774,366.1283927804562,12.546248677467375,High
51087,Henrico County,T18C,homes_occupied_lowest_rent_tier,3599,530.6496019031767,8.963138222339314,High
51087,Henrico County,T8,renters_income_not_computed,490,204.6191584383046,25.385417584306758,Medium
51087,Henrico County,T8,renters_low_income,28570,1557.647264306011,3.314308830986254,High
51087,Henrico County,T8,renters_low_income_burdened,20810,1333.5182788398515,3.895480103936036,High
51087,Henrico County,T8,renters_lowest_income,8115,848.7555596283302,6.358112464840188,High
51087,Henrico County,derived,burden_rate,0.728386419320966,NA,NA,High
51087,Henrico County,derived,homes_available_lowest_income,1774,371.34081380855514,12.724864517483375,High
51087,Henrico County,derived,homes_lowest_rent_tier,3599,534.2593003402,9.024109201900899,High
51087,Henrico County,derived,homes_occupied_higher_income,1825,644.7007057542282,21.474812199832723,Medium
51087,Henrico County,derived,shortage_homes,4516,1002.9052796750049,13.50019625828873,High
51087,Henrico County,derived,shortage_homes_available,6341,926.4340235548347,8.881592449723728,High
51127,New Kent County,T17B,homes_vacant_lowest_rent_tier,0,50,NA,NA
51127,New Kent County,T18C,homes_occupied_lowest_income,0,50,NA,NA
51127,New Kent County,T18C,homes_occupied_lowest_rent_tier,115,83.4445923951936,44.10973563906097,Low
51127,New Kent County,T8,renters_income_not_computed,0,55.90169943749474,NA,NA
51127,New Kent County,T8,renters_low_income,335,179.67748885155314,32.60490656472406,Low
51127,New Kent County,T8,renters_low_income_burdened,225,155.58277539625007,42.035197675447506,Low
51127,New Kent County,T8,renters_lowest_income,75,73.35529974037323,59.457183173554796,Low
51127,New Kent County,derived,burden_rate,0.6716417910447762,NA,NA,Low
51127,New Kent County,derived,homes_available_lowest_income,0,70.71067811865476,NA,NA
51127,New Kent County,derived,homes_lowest_rent_tier,115,97.2779522810796,51.42220287092882,Low
51127,New Kent County,derived,homes_occupied_higher_income,115,97.2779522810796,51.42220287092882,Low
51127,New Kent County,derived,shortage_homes,-40,121.83595528414426,NA,NA
51127,New Kent County,derived,shortage_homes_available,75,101.88719252192594,82.58333740379003,Low
51145,Powhatan County,T17B,homes_vacant_lowest_rent_tier,0,56,NA,NA
51145,Powhatan County,T18C,homes_occupied_lowest_income,59,79.50471684120383,81.9171777252113,Low
51145,Powhatan County,T18C,homes_occupied_lowest_rent_tier,185,98.27512401416749,32.292819851858205,Low
51145,Powhatan County,T8,renters_income_not_computed,10,58.52349955359813,355.7659547331193,Low
51145,Powhatan County,T8,renters_low_income,625,223.63139314505912,21.7513817040787,Medium
51145,Powhatan County,T8,renters_low_income_burdened,315,141.61920773680384,27.330382155990513,Medium
51145,Powhatan County,T8,renters_lowest_income,135,93.24162160752032,41.986545809983255,Low
51145,Powhatan County,derived,burden_rate,0.504,NA,NA,Medium
51145,Powhatan County,derived,homes_available_lowest_income,59,97.24710792614863,100.19793717598127,Low
51145,Powhatan County,derived,homes_lowest_rent_tier,185,113.11056537742175,37.16768762915362,Low
51145,Powhatan County,derived,homes_occupied_higher_income,126,126.40806936267953,60.98715171644692,Low
51145,Powhatan County,derived,shortage_homes,-50,146.58785761446956,NA,NA
51145,Powhatan County,derived,shortage_homes_available,76,134.72564715005083,107.76327559594532,Low
51760,Richmond city,T17B,homes_vacant_lowest_rent_tier,85,63.56886030125127,45.46315773377527,Low
51760,Richmond city,T18C,homes_occupied_lowest_income,6215,723.5730785483937,7.077426449377485,High
51760,Richmond city,T18C,homes_occupied_lowest_rent_tier,8620,841.6038260369305,5.935188725145668,High
51760,Richmond city,T8,renters_income_not_computed,1545,293.62050337127346,11.552926033435575,High
51760,Richmond city,T8,renters_low_income,38545,1770.2542190318316,2.791911745726219,High
51760,Richmond city,T8,renters_low_income_burdened,27030,1416.0914518490677,3.1847793835939755,High
51760,Richmond city,T8,renters_lowest_income,15730,978.1211581394199,3.780054213250656,High
51760,Richmond city,derived,burden_rate,0.7012582695550655,NA,NA,High
51760,Richmond city,derived,homes_available_lowest_income,6300,726.3601035299226,7.008830062526392,High
51760,Richmond city,derived,homes_lowest_rent_tier,8705,844.0011848332915,5.893976209971152,High
51760,Richmond city,derived,homes_occupied_higher_income,2405,1109.8896341528737,28.054259657953573,Medium
51760,Richmond city,derived,shortage_homes,7025,1291.9206631987895,11.179531747872142,High
51760,Richmond city,derived,shortage_homes_available,9430,1218.326721368287,7.853914599453255,High
