nhpd_property_id,geoid,county,property_name,total_units,latest_end_date,expire_window,lihtc,number_active_section8,number_active_public_housing,number_active_home,number_active_hud_insured,number_active_section515,number_active_pbv,number_active_nhtf,number_active_section202,number_active_section538
1094573,51041,Chesterfield,GATEWAY FARM,16,2034-06-21T00:00:00Z,2031-2035,FALSE,1,0,0,0,0,0,0,1,0
1094575,51760,Richmond,BLILEY MANOR,8,2034-02-28T00:00:00Z,2031-2035,FALSE,1,0,0,0,0,0,0,0,0
1094585,51760,Richmond,CHEROKEE HILL OF RICHMOND AKA STRATFORD HOUSE,8,2034-02-28T00:00:00Z,2031-2035,FALSE,1,0,0,0,0,0,0,0,0
1094615,51085,Hanover,HARBOUR SQUARE,100,2051-01-01T00:00:00Z,2041 and later,TRUE,1,0,0,0,0,0,0,0,0
1094634,51760,Richmond,GRACE PLACE,58,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094640,51041,Chesterfield,IVY WALK I,248,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094671,51760,Richmond,HIGHLAND PARK SENIOR APARTMENTS,77,2036-11-30T00:00:00Z,2036-2040,FALSE,1,0,1,0,0,0,0,0,0
1094687,51760,Richmond,SWANSBORO APARTMENTS,121,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094699,51041,Chesterfield,BROADWATER I,150,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094707,51760,Richmond,FOREST CREEK,94,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094723,51041,Chesterfield,MARKET SQUARE II,42,2035-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094725,51760,Richmond,MAURY PARK,45,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094729,51087,Henrico,REFLECTIONS SENIOR LIVING,104,2033-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094734,51041,Chesterfield,MALLARD COVE II,144,2030-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094736,51760,Richmond,NEW CLAY HOUSE II,81,2051-03-01T00:00:00Z,2041 and later,TRUE,0,0,1,0,0,1,1,0,0
1094769,51085,Hanover,BEAVERDAM CREEK,120,2030-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094770,51760,Richmond,CARY 2000 NORTH PHASE II,28,2032-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094784,51760,Richmond,LINCOLN MEWS I,115,2040-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094804,51041,Chesterfield,ARBOR LAKE,126,2028-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094805,51041,Chesterfield,BROADWATER II,73,2035-01-01T00:00:00Z,2031-2035,TRUE,0,0,0,0,0,0,0,0,0
1094810,51760,Richmond,TUSCANY TOWNHOMES,132,2044-01-01T00:00:00Z,2041 and later,TRUE,0,0,0,0,0,0,0,0,0
1094820,51760,Richmond,DUNSTON MANOR,102,2028-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094834,51760,Richmond,MARKET SLIP,30,2028-01-01T00:00:00Z,2026-2030,TRUE,0,0,0,0,0,0,0,0,0
1094838,51087,Henrico,CARTER WOODS II,80,2037-01-01T00:00:00Z,2036-2040,TRUE,0,0,0,0,0,0,0,0,0
1094849,51760,Richmond,STUDIOS II,59,2046-01-01T00:00:00Z,2041 and later,TRUE,0,0,3,0,0,1,0,0,0
