geoid,name,year,table,variable,label,estimate,moe,cv,reliability
51,Virginia,2024,B25034,B25034_008,Total:!!Built 1960 to 1969,367862,4059,0.6707616453037869,High
51,Virginia,2024,B25034,B25034_009,Total:!!Built 1950 to 1959,296321,4143,0.849936735308888,High
51,Virginia,2024,B25034,B25034_010,Total:!!Built 1940 to 1949,153664,3579,1.4158709200447128,High
51,Virginia,2024,B25034,B25034_011,Total:!!Built 1939 or earlier,259275,3441,0.8067855802024525,High
5103368,"Ashland town, Virginia",2024,B25034,B25034_001,Total:,3164,238,4.572719692282863,High
5103368,"Ashland town, Virginia",2024,B25034,B25034_002,Total:!!Built 2020 or later,88,56,38.684719535783366,Low
5103368,"Ashland town, Virginia",2024,B25034,B25034_003,Total:!!Built 2010 to 2019,281,114,24.66224621142468,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_004,Total:!!Built 2000 to 2009,441,145,19.987731668148516,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_005,Total:!!Built 1990 to 1999,458,144,19.113099109382674,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_006,Total:!!Built 1980 to 1989,470,166,21.470607256030522,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_007,Total:!!Built 1970 to 1979,310,135,26.473183645455435,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_008,Total:!!Built 1960 to 1969,261,117,27.250812283827692,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_009,Total:!!Built 1950 to 1959,268,111,25.17806106246881,Medium
5103368,"Ashland town, Virginia",2024,B25034,B25034_010,Total:!!Built 1940 to 1949,143,78,33.158331030671455,Low
5103368,"Ashland town, Virginia",2024,B25034,B25034_011,Total:!!Built 1939 or earlier,444,170,23.275555190448806,Medium
51036,"Charles City County, Virginia",2024,B25035,B25035_001,Median year structure built,1988,2,0.061157216857375254,High
51041,"Chesterfield County, Virginia",2024,B25035,B25035_001,Median year structure built,1990,1,0.030547876158910053,High
51075,"Goochland County, Virginia",2024,B25035,B25035_001,Median year structure built,2000,2,0.060790273556231,High
51085,"Hanover County, Virginia",2024,B25035,B25035_001,Median year structure built,1991,2,0.061065066354827724,High
51087,"Henrico County, Virginia",2024,B25035,B25035_001,Median year structure built,1985,1,0.030624822950242315,High
51127,"New Kent County, Virginia",2024,B25035,B25035_001,Median year structure built,1997,3,0.09132239392523435,High
51145,"Powhatan County, Virginia",2024,B25035,B25035_001,Median year structure built,1996,2,0.06091209775173447,High
51760,"Richmond city, Virginia",2024,B25035,B25035_001,Median year structure built,1959,1,0.03103127797663655,High
51,Virginia,2024,B25035,B25035_001,Median year structure built,1984,1,0.030640258848906754,High
5103368,"Ashland town, Virginia",2024,B25035,B25035_001,Median year structure built,1983,4,0.1226228412631992,High
51036,"Charles City County, Virginia",2024,B25036,B25036_001,Total:,2911,215,4.489834700992672,High
51036,"Charles City County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,2511,213,5.156642081830825,High
51036,"Charles City County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,20,16,48.6322188449848,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,305,77,15.347052668294387,Medium
51036,"Charles City County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,411,82,12.128473069612998,High
51036,"Charles City County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,549,104,11.51582595600733,High
51036,"Charles City County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,402,75,11.341468947058022,High
51036,"Charles City County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,293,62,12.863470854902124,High
51036,"Charles City County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,208,47,13.736263736263735,High
51036,"Charles City County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,151,48,19.324060468205882,Medium
51036,"Charles City County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,53,28,32.11561621838619,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,119,51,26.05297438124186,Medium
51036,"Charles City County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,400,76,11.55015197568389,High
51036,"Charles City County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,21,24,69.4745983499783,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,20,14,42.5531914893617,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,28,20,43.42162396873643,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,62,33,32.35611334444553,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,52,29,33.90226794482113,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,55,33,36.4741641337386,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,56,28,30.3951367781155,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,16,10,37.993920972644375,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,46,25,33.038192150125546,Low
51036,"Charles City County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,44,23,31.776733904393478,Low
51041,"Chesterfield County, Virginia",2024,B25036,B25036_001,Total:,140155,557,0.24159096978930944,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,107538,1185,0.6698699451741127,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,3756,391,6.328273951141193,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_004,Total:!!Owner occupied:!!Built 2010 to 2019,14436,871,3.66779774643095,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_005,Total:!!Owner occupied:!!Built 2000 to 2009,19024,899,2.872711097931648,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_006,Total:!!Owner occupied:!!Built 1990 to 1999,16967,927,3.3213050973434397,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_007,Total:!!Owner occupied:!!Built 1980 to 1989,23146,1071,2.81285677778983,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_008,Total:!!Owner occupied:!!Built 1970 to 1979,17075,956,3.403543280805671,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_009,Total:!!Owner occupied:!!Built 1960 to 1969,7278,707,5.905293130565446,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_010,Total:!!Owner occupied:!!Built 1950 to 1959,3418,492,8.75038460786005,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_011,Total:!!Owner occupied:!!Built 1940 to 1949,1082,299,16.79879093651855,Medium
51041,"Chesterfield County, Virginia",2024,B25036,B25036_012,Total:!!Owner occupied:!!Built 1939 or earlier,1356,402,18.021895257820695,Medium
51041,"Chesterfield County, Virginia",2024,B25036,B25036_013,Total:!!Renter occupied:,32617,1192,2.221602418340968,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_014,Total:!!Renter occupied:!!Built 2020 or later,1248,395,19.24051126178786,Medium
51041,"Chesterfield County, Virginia",2024,B25036,B25036_015,Total:!!Renter occupied:!!Built 2010 to 2019,4533,717,9.615403957603712,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_016,Total:!!Renter occupied:!!Built 2000 to 2009,5749,690,7.2961017140023285,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_017,Total:!!Renter occupied:!!Built 1990 to 1999,5616,667,7.219927432693391,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_018,Total:!!Renter occupied:!!Built 1980 to 1989,5722,751,7.978590604811164,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_019,Total:!!Renter occupied:!!Built 1970 to 1979,5408,682,7.666229024657829,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_020,Total:!!Renter occupied:!!Built 1960 to 1969,2060,443,13.072859798742881,High
51041,"Chesterfield County, Virginia",2024,B25036,B25036_021,Total:!!Renter occupied:!!Built 1950 to 1959,1284,379,17.94354647804638,Medium
51041,"Chesterfield County, Virginia",2024,B25036,B25036_022,Total:!!Renter occupied:!!Built 1940 to 1949,280,133,28.87537993920973,Medium
51041,"Chesterfield County, Virginia",2024,B25036,B25036_023,Total:!!Renter occupied:!!Built 1939 or earlier,717,275,23.31565582700631,Medium
51075,"Goochland County, Virginia",2024,B25036,B25036_001,Total:,10342,258,1.5165239390357377,High
51075,"Goochland County, Virginia",2024,B25036,B25036_002,Total:!!Owner occupied:,8784,334,2.311469873381279,High
51075,"Goochland County, Virginia",2024,B25036,B25036_003,Total:!!Owner occupied:!!Built 2020 or later,402,135,20.41464410470444,Medium
