"#","ML #","PID","Status","Address Line","Zip","County/City","Type","Sales Date","List Price","Sales Price","Days On Market","New/Resale","Year Built","Subdivision","SqFtTotal","Acres","# Bedrooms","Total Baths","Water","Sewer","Sold Terms","Owned By"
"1","2228090","To be determined","CLOSD","5400 Ellerbee Mill Court #Unit21-3, Chesterfield VA 23831","23831","Chesterfield","Single Family Residence","12/22/2022","$420,260","$420,260","0","New (never occupied)","2022","The Villas at Iron Mill","1,559","","3","2.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","BRTVARC2000224","C0060607044","CLOSD","4911 Lovells Road, Richmond City VA 23224","23224","Richmond City","Single Family Residence","12/27/2022","$230,000","$230,000","89","Resale (occupied at least once)","1963","NONE AVAILABLE","1,390","0.22","3","2.0","Public Water","Public Sewer On Site","",""
"1","2227767","726709003700000","CLOSD","1651 Ewing Park Loop, Chesterfield VA 23113","23113","Chesterfield","Townhouse","12/27/2022","$359,990","$359,990","48","New (never occupied)","2022","Promenade at Winterfield","1,599","","2","2.2","Public Water","Sewer - Public","FHA New","Corporate"
"1","2221800","826-66-11-80-300-000","CLOSD","11724 Riverboat Drive, Chesterfield VA 23836","23836","Chesterfield","Single Family Residence","12/27/2022","$657,990","$662,052","90","New (never occupied)","2022","Meadowville Landing","3,697","0.70","5","4.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","2229161","783-66-34-45-600-000","CLOSD","4901 Creekwood Court, Chesterfield VA 23237","23237","Chesterfield","Single Family Residence","12/27/2022","$279,950","$280,000","21","Resale (occupied at least once)","1976","Lost Forest","1,425","0.86","4","2.0","Public Water","Sewer - Public","FHA New","Individuals"
"1","2229028","TBD","CLOSD","206 Sag Harbor Court #UnitD, Henrico VA 23075","23075","Henrico","Townhouse","12/27/2022","$244,990","$244,990","23","New (never occupied)","2022","Easthampton","1,440","","3","2.1","Public Water","Sewer - Public","FHA New","Corporate"
"1","2225490","E000-0858-012","CLOSD","1602 North 22nd Street, Richmond City VA 23223","23223","Richmond City","Single Family Residence","12/27/2022","$365,000","$365,000","44","Resale (occupied at least once)","2021","None","1,808","0.07","3","2.1","Public Water","Sewer - Public","Conventional","Individuals"
"1","2212891","7796-63-1605","CLOSD","9223 Giles Pond Drive, Hanover VA 23116","23116","Hanover","Single Family Residence","12/27/2022","$623,000","$623,000","0","New (never occupied)","2022","Giles Farm","2,718","","4","3.0","Public Water","Sewer - Public","Conventional","Corporate"
"1","2228550","770684251500000","CLOSD","5442 Niles Road, Chesterfield VA 23234","23234","Chesterfield","Single Family Residence","12/27/2022","$349,990","$349,990","28","New (never occupied)","2022","Jessup Meadows","1,680","","4","2.1","Public Water","Sewer - Public","Conventional","Corporate"
"1","BRTVAHN2000236","NO TAX RECORD","CLOSD","719 Mccormick Farm, Henrico VA 23060","23060","Henrico","Townhouse","12/27/2022","$353,165","$353,166","0","New (never occupied)","2022","NONE AVAILABLE","1,575","","2","3.0","Public Water","Public Sewer On Site","",""
